Date,Close,Open,Low,High,Volume
2022-08-22,21398.908203125,21531.462890625,20939.18359375,21531.462890625,31666498758
2022-08-23,21528.087890625,21401.044921875,20955.138671875,21646.203125,31878280659
2022-08-24,21395.01953125,21526.455078125,21195.005859375,21783.076171875,31962253368
2022-08-25,21600.904296875,21395.458984375,21362.44140625,21789.63671875,31028679593
2022-08-26,20260.01953125,21596.0859375,20199.482421875,21804.908203125,42326789564
2022-08-27,20041.73828125,20262.48046875,19890.5234375,20340.775390625,30116729776
2022-08-28,19616.814453125,20041.03515625,19616.814453125,20139.0546875,24366810591
2022-08-29,20297.994140625,19615.154296875,19600.78515625,20357.462890625,32637854078
2022-08-30,19796.80859375,20298.611328125,19617.640625,20542.64453125,34483360283
2022-08-31,20049.763671875,19799.58203125,19799.58203125,20420.990234375,33225232872
2022-09-01,20127.140625,20050.498046875,19653.96875,20198.390625,30182031010
2022-09-02,19969.771484375,20126.072265625,19814.765625,20401.568359375,29123998928
2022-09-03,19832.087890625,19969.71875,19698.35546875,20037.009765625,23613051457
2022-09-04,19986.712890625,19832.470703125,19636.81640625,19999.689453125,25245861652
2022-09-05,19812.37109375,19988.7890625,19673.046875,20031.16015625,28813460025
2022-09-06,18837.66796875,19817.724609375,18800.171875,20155.26953125,43403978910
2022-09-07,19290.32421875,18837.68359375,18644.466796875,19427.171875,35239757134
2022-09-08,19329.833984375,19289.94140625,19076.71484375,19417.3515625,32194477850
2022-09-09,21381.15234375,19328.140625,19310.962890625,21439.41015625,48469528171
2022-09-10,21680.5390625,21376.912109375,21168.72265625,21760.275390625,36913738894
2022-09-11,21769.255859375,21678.54296875,21406.9453125,21770.552734375,34493951963
2022-09-12,22370.44921875,21770.1484375,21603.896484375,22439.181640625,50212088965
2022-09-13,20296.70703125,22371.48046875,20062.669921875,22673.8203125,51091116622
2022-09-14,20241.08984375,20184.5546875,19793.396484375,20467.201171875,37872380889
2022-09-15,19701.2109375,20242.2890625,19636.734375,20318.166015625,36389011503
2022-09-16,19772.583984375,19704.005859375,19400.076171875,19870.62890625,30123362273
2022-09-17,20127.576171875,19777.033203125,19777.033203125,20162.53125,24957448100
2022-09-18,19419.505859375,20127.234375,19387.4921875,20127.234375,31254779144
2022-09-19,19544.12890625,19418.572265625,18390.318359375,19639.48046875,40177002624
2022-09-20,18890.7890625,19545.591796875,18813.455078125,19602.45703125,36791346508
2022-09-21,18547.400390625,18891.283203125,18290.314453125,19674.630859375,46363793975
2022-09-22,19413.55078125,18534.650390625,18415.591796875,19456.91015625,41135767926
2022-09-23,19297.638671875,19412.400390625,18617.552734375,19464.671875,38896078052
2022-09-24,18937.01171875,19296.990234375,18861.974609375,19310.197265625,26149643168
2022-09-25,18802.09765625,18936.310546875,18696.46875,19134.732421875,23359966112
2022-09-26,19222.671875,18803.900390625,18721.28515625,19274.873046875,44148798321
2022-09-27,19110.546875,19221.83984375,18915.66796875,20338.455078125,58571439619
2022-09-28,19426.720703125,19104.62109375,18553.296875,19688.34375,53071298734
2022-09-29,19573.05078125,19427.779296875,18924.353515625,19589.265625,41037843771
2022-09-30,19431.7890625,19573.431640625,19265.662109375,20109.849609375,43975248085
2022-10-01,19312.095703125,19431.10546875,19231.08203125,19471.154296875,18719537670
2022-10-02,19044.107421875,19311.849609375,18970.62109375,19370.30859375,20765955327
2022-10-03,19623.580078125,19044.068359375,19025.2265625,19653.54296875,30484729489
2022-10-04,20336.84375,19623.583984375,19523.83984375,20380.34375,35887278685
2022-10-05,20160.716796875,20335.900390625,19801.80078125,20343.748046875,33223790572
2022-10-06,19955.443359375,20161.0390625,19900.087890625,20408.392578125,34711412966
2022-10-07,19546.849609375,19957.55859375,19395.79296875,20041.0859375,29227315390
2022-10-08,19416.568359375,19546.328125,19299.4140625,19601.6953125,16437423167
2022-10-09,19446.42578125,19417.478515625,19349.259765625,19542.5390625,16837262532
2022-10-10,19141.484375,19446.416015625,19102.978515625,19515.466796875,27425022774
2022-10-11,19051.41796875,19139.0,18925.603515625,19241.9609375,28711532910
2022-10-12,19157.4453125,19052.646484375,19029.7578125,19203.19921875,24950173846
2022-10-13,19382.904296875,19156.966796875,18319.822265625,19453.328125,44219840004
2022-10-14,19185.65625,19382.533203125,19115.408203125,19889.146484375,38452356727
2022-10-15,19067.634765625,19185.4375,19019.25,19212.541015625,16192235532
